Name,Purpose,NutriRating,Description,DiabeticFriendly,Calories per gram,"Approximate Sweetness
(sucrose =100%)",Link,Typical Food Applications
Sorbitol,Artificial Sweetener,-1,Sugar Alcohol,FALSE,2.6,50 – 70%,,"Sugar-free candies, chewing gums, frozen desserts and baked goods"
Xylitol,Artificial Sweetener,-1,Sugar Alcohol,FALSE,2.4,100%,,"Chewing gum, gum drops and hard candy, pharmaceuticals and oral health products, such as throat lozenges, cough syrups, children’s chewable multivitamins, toothpastes and mouthwashes; used in foods for special dietary purposes"
Maltitol,Artificial Sweetener,-1,Sugar Alcohol,FALSE,2.1,75%,,"Hard candies, chewing gum, chocolates, baked goods and ice cream"
Isomalt,Artificial Sweetener,-1,Sugar Alcohol,FALSE,2,45 – 65%,,"Candies, toffee, lollipops, fudge, wafers, cough drops, throat lozenges"
Lactitol,Artificial Sweetener,-1,Sugar Alcohol,FALSE,2,30 – 40%,,"Chocolate, some baked goods (cookies and cakes), hard and soft candy and frozen dairy desserts"
Mannitol,Artificial Sweetener,-1,Sugar Alcohol,FALSE,1.6,50 – 70%,,"Dusting powder for chewing gum, ingredient in chocolate-flavored coating agents for ice cream and confections"
Erythritol,Artificial Sweetener,0,Sugar Alcohol,TRUE,0.2,60 – 80%,,Bulk sweetener in low calorie foods
"Hydrogenated
Starch Hydrolysates
(HSH)",Artificial Sweetener,-1,Sugar Alcohol,FALSE,3,25 – 50%,,"Bulk sweetener in low calorie foods, provide sweetness, texture and bulk to a variety of sugarless products"
Glycerol,Artificial Sweetener,-1,,FALSE,,,,
Acesulfame potassium,Artificial Sweetener,-1,,FALSE,,,,
Aspartame,Artificial Sweetener,-1,,FALSE,,,,
Cyclamic acid,Artificial Sweetener,-1,,FALSE,,,,
Cyclamate,Artificial Sweetener,-1,,FALSE,,,,
Isomaltitol,Artificial Sweetener,-1,,FALSE,,,,
Saccharin,Artificial Sweetener,-1,,FALSE,,,,
Sucralose,Artificial Sweetener,-1,,FALSE,,,,
Trichlorogalactosucrose,Artificial Sweetener,-1,,FALSE,,,,
Alitame,Artificial Sweetener,-1,,FALSE,,,,
Steviol glycosides,Natural Sweetener,-1,Derived from stevia leaf,FALSE,,,,
Stevia,Natural Sweetener,0,Derived from stevia leaf,FALSE,,,,
Neotame,Artificial Sweetener,-1,,FALSE,,,,
Lactitol,Artificial Sweetener,-1,,FALSE,,,,
Advantame,Artificial Sweetener,-1,,FALSE,,,,
Sucrose,Natural Sweetener,0,Common table sugar,FALSE,,,,
High fructose corn syrup,Natural Sweetener,-1,,FALSE,,,,
Maltodextrin,"Carbohydrate, sweetener",-1,Same Glicaemic Index as sugar. Improves mouthfeel.,FALSE,,,,
Isomaltulose,"Carbohydrate, sweetener",,,,,,,